thread,time
1,0.08
1,0.09
1,0.08
1,0.09
1,0.07
2,0.1
2,0.1
2,0.09
2,0.09
2,0.12
4,0.25
4,0.25
4,0.31
4,0.28
4,0.23
8,0.26
8,0.37
8,0.33
8,0.35
8,0.29
16,0.46
16,0.47
16,0.44
16,0.42
16,0.53
32,0.81
32,0.8
32,0.78
32,0.81
32,0.76
64,1.52
64,1.53
64,1.55
64,1.51
64,1.5
