thread,time
1,0.74
1,0.69
1,0.73
1,0.77
1,0.71
2,0.76
2,0.83
2,0.83
2,0.99
2,0.76
4,0.91
4,0.95
4,0.91
4,0.88
4,0.95
8,0.99
8,0.92
8,0.92
8,1.09
8,0.92
16,1.01
16,1.04
16,0.91
16,0.92
16,0.94
32,0.99
32,0.94
32,0.88
32,0.95
32,1.13
64,0.98
64,1.01
64,1.08
64,1.02
64,1.10
